"id","id_crm","id_idealista","estado","id_empresa","contact_id","link_idealista","scope","created_at","updated_at","ref"
139178,"5238702",28681602,inactive,5232,26975325,https://www.idealista.pt/imovel/28681602,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V-M481
139179,"5129042",28212224,inactive,5232,26975325,https://www.idealista.pt/imovel/28212224,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A290
139181,"5180171",28398130,dropped_by_quality,5232,26975325,https://www.idealista.pt/imovel/28398130,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V- Arm 374
139182,"2852573",27282958,inactive,5232,26975325,https://www.idealista.pt/imovel/27282958,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,n/00066
139183,"2852577",27282955,inactive,5232,26975325,https://www.idealista.pt/imovel/27282955,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,n/00070
139184,"5175557",28378890,inactive,5232,26975325,https://www.idealista.pt/imovel/28378890,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N-M364
139185,"5171074",28370742,inactive,5232,26975325,https://www.idealista.pt/imovel/28370742,microsite,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,E356
139186,"5222188",28589180,inactive,5232,26975325,https://www.idealista.pt/imovel/28589180,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V- A452
139187,"5180180",28403985,inactive,5232,26975325,https://www.idealista.pt/imovel/28403985,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,B378
139188,"5155819",28333136,inactive,5232,26975325,https://www.idealista.pt/imovel/28333136,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,T342
139189,"5052253",28001136,inactive,5232,26975325,https://www.idealista.pt/imovel/28001136,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N229
139190,"5163800",28352385,inactive,5232,26975325,https://www.idealista.pt/imovel/28352385,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,M-A349
139191,"5227088",28620948,inactive,5232,26975325,https://www.idealista.pt/imovel/28620948,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,V-A460
139192,"5238694",28681603,inactive,5232,26975325,https://www.idealista.pt/imovel/28681603,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,N-P402 (2) (1)
139193,"5216898",28563004,inactive,5232,26975325,https://www.idealista.pt/imovel/28563004,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S-m446 (1)
139194,"5230420",28638245,inactive,5232,26975325,https://www.idealista.pt/imovel/28638245,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S462
139195,"5244001",28734265,inactive,5232,26975325,https://www.idealista.pt/imovel/28734265,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S499
139196,"5256962",28800949,inactive,5232,26975325,https://www.idealista.pt/imovel/28800949,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,"520"
139197,"5208042",28536959,inactive,5232,26975325,https://www.idealista.pt/imovel/28536959,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,A420
139198,"5237418",28671888,inactive,5232,26975325,https://www.idealista.pt/imovel/28671888,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,S- ARm479
139199,"5235482",28659736,inactive,5232,26975325,https://www.idealista.pt/imovel/28659736,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,D-L469 (2)
139200,"5203028",28500948,inactive,5232,26975325,https://www.idealista.pt/imovel/28500948,idealista,2022-09-25 10:54:00.000,2022-09-25 10:54:00.000,s-t411
